X,Y,OBJECTID,STOP_NAME,STOP_CODE,NAPTAN_ATCO,ROAD_NAME,ROUTES,LIVE_BUS_ARRIVAL,OS_EASTING,OS_NORTHING,POSTCODE,DATE_UPDATED
527515.000000175,192003.999999509,5237699,Colney Hatch Lane,9944,490007030E,WOODHOUSE ROAD,"134, 221, 382, 683",https://tfl.gov.uk/bus/stop/490007030E/,527515,192004,N12 0NB,2024-12-11 00:00:00+00:00
527900.000000184,192107.999999514,5237700,St Johns Church,9947,490012733W,FRIERN BARNET ROAD,"43, 221, 382",https://tfl.gov.uk/bus/stop/490012733W/,527900,192108,N11 3EQ,2024-12-11 00:00:00+00:00
529076.000000359,191961.999999445,5237701,Hobart Corner,9962,490008265N,STATION ROAD,"221, 232, N91",https://tfl.gov.uk/bus/stop/490008265N/,529076,191962,N11 1QJ,2024-12-11 00:00:00+00:00
531330.000000195,189847.999999569,5237702,Brampton Park Road,9984,490000241L,WOOD GREEN HIGH ROAD,"67, 141, 144, 184, 221, 230, W4, N91",https://tfl.gov.uk/bus/stop/490000241L/,531330,189848,N22 6BH,2024-12-11 00:00:00+00:00
531267.000000194,189930.999999571,5237703,Brampton Park Road,9985,490009461K,WOOD GREEN HIGH ROAD,"121, 123, 144, 184, 221, 232, 329, N91",https://tfl.gov.uk/bus/stop/490009461K/,531267,189931,N22 6HH,2024-12-11 00:00:00+00:00
540667.000000163,172731.999999372,5237704,Coopers Lane,BP007,490005578W,COOPERS LANE,"273, 284",https://tfl.gov.uk/bus/stop/490005578W/,540667,172732,SE12 0BX,2024-12-11 00:00:00+00:00
514133.000000035,183106.999999554,5237705,West Ridge Gardens,BP015,490014512W,FERRYMEAD GARDENS,E10,https://tfl.gov.uk/bus/stop/490014512W/,514133,183107,UB6 9NG,2024-12-11 00:00:00+00:00
514429.000000069,182806.999999579,5237706,Farndale Crescent,BP019,490013451N,OLDFIELD LANE SOUTH,E10,https://tfl.gov.uk/bus/stop/490013451N/,514429,182807,UB6 9JZ,2024-12-11 00:00:00+00:00
513744.000000067,181154.999999579,5237707,Wallis Road,BP029,490005976S,TELFORD ROAD,E5,https://tfl.gov.uk/bus/stop/490005976S/,513744,181155,UB1 3JY,2024-12-11 00:00:00+00:00
514420.000000069,182782.999999579,5237708,Farndale Crescent,BP031,490013451S,OLDFIELD LANE SOUTH,E10,https://tfl.gov.uk/bus/stop/490013451S/,514420,182783,UB6 9JX,2024-12-11 00:00:00+00:00
519009.000000067,177048.999999589,5237709,Kew Gardens Road,BP033,490008695G,KEW GARDENS ROAD,110,https://tfl.gov.uk/bus/stop/490008695G/,519009,177049,TW9 3HL,2024-12-11 00:00:00+00:00
535464.000000225,182885.999999263,5237710,Morpeth Street,2292,490004144W,ROMAN ROAD,"8, D6, N8",https://tfl.gov.uk/bus/stop/490004144W/,535464,182886,E2 0RN,2024-12-11 00:00:00+00:00
524955.000000235,190323.999999632,5237711,East End Road,2297,490006337S,REGENT'S PARK ROAD,"13, 125, 143, 326, 460, 683, Y13, N20",https://tfl.gov.uk/bus/stop/490006337S/,524955,190324,N3 3TZ,2024-12-11 00:00:00+00:00
547362.000000233,178859.99999926,5237712,Abbey Wood Road,26601,490003039E,KNEE HILL,"229, 244, 301, 469, 472, 602, 669, B11",https://tfl.gov.uk/bus/stop/490003039E/,547362,178860,SE2 0YS,2024-12-11 00:00:00+00:00
545982.000000226,178391.999999283,5237713,Plumstead Corner / Rockmount Road,26614,490011075W2,PLUMSTEAD HIGH STREET,"96, 99, 422",https://tfl.gov.uk/bus/stop/490011075W2/,545982,178392,SE18 1JT,2024-12-11 00:00:00+00:00
513497.000000064,168380.999999554,5237714,West Molesey War Memorial,2663,40004405125B,WALTON ROAD,411,https://tfl.gov.uk/bus/stop/40004405125B/,513497,168381,KT8 2JQ,2024-12-11 00:00:00+00:00
542753.000000176,176401.999999363,5237715,Well Hall Road / Broad Walk,26656,490004379S,WELL HALL ROAD,"122, 161",https://tfl.gov.uk/bus/stop/490004379S/,542753,176402,SE9 1NF,2024-12-11 00:00:00+00:00
542680.000000176,176212.999999366,5237716,Well Hall Road / Dunblane Road,26658,490013592S,WELL HALL ROAD,"122, 161",https://tfl.gov.uk/bus/stop/490013592S/,542680,176213,SE9 6UD,2024-12-11 00:00:00+00:00
542314.00000018,175372.999999376,5237717,Elmbrook Gardens,26669,490006494N,WESTHORNE AVENUE,"122, 621",https://tfl.gov.uk/bus/stop/490006494N/,542314,175373,SE9 6JU,2024-12-11 00:00:00+00:00
542035.000000157,175165.999999356,5237718,Westhorne Avenue / Briset Road,26673,490004351N,WESTHORNE AVENUE,"122, 621",https://tfl.gov.uk/bus/stop/490004351N/,542035,175166,SE9 6JX,2024-12-11 00:00:00+00:00
542803.000000197,179094.999999375,5237719,Kingsman Street,26693,490006982DG,WOOLWICH CHURCH STREET,"161, 177, 180, 472, N1",https://tfl.gov.uk/bus/stop/490006982DG/,542803,179095,SE18 5QE,2024-12-11 00:00:00+00:00
520301.000000103,184581.999999539,5237720,Conduit Way,16561,490005538E,NORTH CIRCULAR ROAD,112,https://tfl.gov.uk/bus/stop/490005538E/,520301,184582,NW10 0PN,2024-12-11 00:00:00+00:00
